ck,ckr,evidence,antagonist
CCL3,CCR1,5,no
CCL4,CCR1,4,no
CCL5,CCR1,5,no
CCL7,CCR1,5,no
CCL8,CCR1,5,no
CCL13,CCR1,1,no
CCL14,CCR1,5,no
CCL15,CCR1,5,no
CCL16,CCR1,4,no
CCL18,CCR1,1,no
CCL23,CCR1,4,no
CCL26,CCR1,4,yes
CXCL4,CCR1,4,no
CCL3L1,CCR1,5,no
CCL2,CCR2,5,no
CCL4,CCR2,2,no
CCL5,CCR2,1,no
CCL7,CCR2,5,no
CCL8,CCR2,5,no
CCL11,CCR2,3,yes
CCL13,CCR2,5,no
CCL16,CCR2,4,no
CCL24,CCR2,1,yes
CCL26,CCR2,5,yes
CCL2,CCR3,4,no
CCL3,CCR3,3,no
CCL4,CCR3,1,no
CCL5,CCR3,5,no
CCL7,CCR3,5,no
CCL8,CCR3,4,no
CCL11,CCR3,5,no
CCL13,CCR3,5,no
CCL14,CCR3,4,yes
CCL15,CCR3,4,no
CCL18,CCR3,4,yes
CCL24,CCR3,5,no
CCL26,CCR3,5,no
CCL28,CCR3,4,no
CXCL9,CCR3,5,yes
CXCL10,CCR3,4,yes
CXCL11,CCR3,5,yes
CCL3L1,CCR3,5,no
CXCL4L1,CCR3,3,no
CCL2,CCR4,1,no
CCL3,CCR4,1,no
CCL17,CCR4,5,no
CCL22,CCR4,5,no
CCL2,CCR5,2,no
CCL3,CCR5,5,no
CCL4,CCR5,5,no
CCL5,CCR5,5,no
CCL7,CCR5,5,yes
CCL8,CCR5,5,no
CCL11,CCR5,4,no
CCL13,CCR5,4,no
CCL14,CCR5,5,no
CCL16,CCR5,2,no
CCL26,CCR5,4,yes
CXCL11,CCR5,5,yes
CCL3L1,CCR5,5,no
CCL4L1,CCR5,1,no
CCL20,CCR6,5,no
CCL19,CCR7,5,no
CCL21,CCR7,5,no
CCL1,CCR8,5,no
CCL16,CCR8,2,no
CCL18,CCR8,5,no
CCL25,CCR9,5,no
CCL27,CCR10,5,no
CCL28,CCR10,5,no
CXCL1,CXCR1,4,no
CXCL3,CXCR1,4,no
CXCL5,CXCR1,2,no
CXCL6,CXCR1,5,no
CXCL7,CXCR1,2,no
CXCL8,CXCR1,4,no
CXCL1,CXCR2,5,no
CXCL2,CXCR2,5,no
CXCL3,CXCR2,5,no
CXCL4,CXCR2,1,no
CXCL5,CXCR2,5,no
CXCL6,CXCR2,3,no
CXCL7,CXCR2,5,no
CXCL8,CXCR2,4,no
CCL5,CXCR3,2,no
CCL7,CXCR3,2,no
CCL11,CXCR3,3,yes
CCL13,CXCR3,2,no
CCL19,CXCR3,2,no
CCL20,CXCR3,1,no
CXCL4,CXCR3,5,yes
CXCL9,CXCR3,5,no
CXCL10,CXCR3,5,no
CXCL11,CXCR3,5,no
CXCL13,CXCR3,5,no
CXCL12,CXCR4,5,no
CXCL13,CXCR5,5,no
CXCL16,CXCR6,5,no
CXCL17,CXCR8,3,no
CCL26,CX3CR1,4,no
CX3CL1,CX3CR1,5,no
XCL1,XCR1,5,no
XCL2,XCR1,5,no
CCL1,ACKR1,4,no
CCL2,ACKR1,5,no
CCL5,ACKR1,5,no
CCL7,ACKR1,5,no
CCL8,ACKR1,4,no
CCL11,ACKR1,4,no
CCL13,ACKR1,5,no
CCL14,ACKR1,4,no
CCL16,ACKR1,4,no
CCL17,ACKR1,4,no
CCL18,ACKR1,4,no
CXCL1,ACKR1,4,no
CXCL2,ACKR1,3,no
CXCL3,ACKR1,1,no
CXCL4,ACKR1,1,no
CXCL5,ACKR1,4,no
CXCL6,ACKR1,1,no
CXCL8,ACKR1,5,no
CXCL9,ACKR1,4,no
CXCL10,ACKR1,4,no
CXCL11,ACKR1,5,no
CXCL13,ACKR1,4,no
CCL2,ACKR2,5,no
CCL3,ACKR2,4,no
CCL4,ACKR2,5,no
CCL5,ACKR2,5,no
CCL7,ACKR2,5,no
CCL8,ACKR2,5,no
CCL11,ACKR2,4,no
CCL13,ACKR2,5,no
CCL14,ACKR2,5,no
CCL17,ACKR2,5,no
CCL22,ACKR2,5,no
CCL23,ACKR2,1,no
CXCL11,ACKR3,5,no
CXCL12,ACKR3,5,no
CCL19,ACKR4,5,no
CCL21,ACKR4,5,no
CCL25,ACKR4,5,no
CCL19,CCRL2,5,no
CCL16,H4 Receptor,5,no
