ackr1_human  100.00   15.75   15.17   14.38   17.52   19.87   17.41   22.08   23.62   20.00   19.02   21.47   16.89   19.51   20.90   16.95   18.58   18.42   18.45   19.28   18.73   17.16   18.81
ackr3_human   15.75  100.00   24.51   26.96   25.15   29.81   23.93   23.88   24.17   27.19   27.64   29.05   29.10   28.39   25.82   23.96   29.94   28.13   29.10   26.06   26.69   26.61   26.38
cxcr6_human   15.17   24.51  100.00   34.16   36.83   34.53   34.02   29.36   27.19   31.00   30.65   31.79   31.43   28.85   28.70   26.45   32.71   30.28   31.50   31.50   31.80   32.21   32.82
ackr4_human   14.38   26.96   34.16  100.00   34.31   39.88   35.19   28.66   31.55   27.46   29.27   30.93   33.23   25.63   31.64   27.48   34.85   29.09   33.33   29.91   30.30   31.31   29.57
ccr6_human    17.52   25.15   36.83   34.31  100.00   40.73   34.62   29.51   31.69   34.29   39.10   37.03   33.53   26.54   32.39   23.55   34.52   31.79   38.66   31.12   31.29   31.88   33.62
ccr7_human    19.87   29.81   34.53   39.88   40.73  100.00   41.74   33.91   34.80   32.76   33.33   34.69   31.63   27.95   31.62   25.93   33.13   29.24   35.47   33.33   34.32   36.28   34.51
ccr9_human    17.41   23.93   34.02   35.19   34.62   41.74  100.00   31.52   31.30   30.37   33.63   33.43   32.34   25.23   32.48   24.70   28.78   30.92   33.72   31.50   35.28   34.01   32.85
cxcr5_human   22.08   23.88   29.36   28.66   29.51   33.91   31.52  100.00   32.87   37.12   34.01   36.13   31.95   28.53   29.05   25.90   29.85   29.19   30.66   27.43   26.74   28.03   28.32
ccr10_human   23.62   24.17   27.19   31.55   31.69   34.80   31.30   32.87  100.00   38.81   32.17   32.86   29.34   26.69   32.76   24.01   29.17   24.71   29.15   26.74   28.20   29.15   28.95
cxcr3_human   20.00   27.19   31.00   27.46   34.29   32.76   30.37   37.12   38.81  100.00   37.36   39.11   33.73   27.91   32.96   21.34   29.94   28.49   31.01   29.43   30.29   28.95   29.53
cxcr1_human   19.02   27.64   30.65   29.27   39.10   33.33   33.63   34.01   32.17   37.36  100.00   76.57   33.85   30.50   31.76   24.14   29.36   31.93   35.22   30.42   29.34   30.63   30.42
cxcr2_human   21.47   29.05   31.79   30.93   37.03   34.69   33.43   36.13   32.86   39.11   76.57  100.00   33.84   32.20   32.86   23.46   31.02   31.95   35.38   31.29   30.38   31.36   31.36
cxcr4_human   16.89   29.10   31.43   33.23   33.53   31.63   32.34   31.95   29.34   33.73   33.85   33.84  100.00   29.19   31.23   25.76   34.04   30.47   35.67   30.64   30.75   29.97   31.16
xcr1_human    19.51   28.39   28.85   25.63   26.54   27.95   25.23   28.53   26.69   27.91   30.50   32.20   29.19  100.00   36.56   28.25   33.33   35.26   33.23   32.11   31.71   32.22   32.32
ackr2_human   20.90   25.82   28.70   31.64   32.39   31.62   32.48   29.05   32.76   32.96   31.76   32.86   31.23   36.56  100.00   29.55   34.20   33.99   37.71   32.61   32.66   36.65   34.09
ccrl2_human   16.95   23.96   26.45   27.48   23.55   25.93   24.70   25.90   24.01   21.34   24.14   23.46   25.76   28.25   29.55  100.00   30.72   31.63   34.03   39.46   40.73   41.27   40.66
cx3c1_human   18.58   29.94   32.71   34.85   34.52   33.13   28.78   29.85   29.17   29.94   29.36   31.02   34.04   33.33   34.20   30.72  100.00   39.23   41.42   40.58   38.53   41.00   41.12
ccr8_human    18.42   28.13   30.28   29.09   31.79   29.24   30.92   29.19   24.71   28.49   31.93   31.95   30.47   35.26   33.99   31.63   39.23  100.00   42.86   36.29   40.35   39.03   37.32
ccr4_human    18.45   29.10   31.50   33.33   38.66   35.47   33.72   30.66   29.15   31.01   35.22   35.38   35.67   33.23   37.71   34.03   41.42   42.86  100.00   45.07   48.41   47.14   44.57
ccr2_human    19.28   26.06   31.50   29.91   31.12   33.33   31.50   27.43   26.74   29.43   30.42   31.29   30.64   32.11   32.61   39.46   40.58   36.29   45.07  100.00   68.88   53.01   48.14
ccr5_human    18.73   26.69   31.80   30.30   31.29   34.32   35.28   26.74   28.20   30.29   29.34   30.38   30.75   31.71   32.66   40.73   38.53   40.35   48.41   68.88  100.00   55.30   50.29
ccr1_human    17.16   26.61   32.21   31.31   31.88   36.28   34.01   28.03   29.15   28.95   30.63   31.36   29.97   32.22   36.65   41.27   41.00   39.03   47.14   53.01   55.30  100.00   62.99
ccr3_human    18.81   26.38   32.82   29.57   33.62   34.51   32.85   28.32   28.95   29.53   30.42   31.36   31.16   32.32   34.09   40.66   41.12   37.32   44.57   48.14   50.29   62.99  100.00
