CellphoneDB interaction ,Partner A,Partner B,Gene name A,Gene name B, Ensembl ID A,Ensembl ID B,Annotation strategy,Curator,Source,Is PPI
CPI-SS0BC034428,simple:P42830,simple:P25024,CXCL5,CXCR1,ENSG00000163735,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS03818E1DD,simple:P80162,simple:P25024,CXCL6,CXCR1,ENSG00000124875,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS07AB1C381,simple:P02775,simple:P25024,PPBP,CXCR1,ENSG00000163736,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C62E5DD8,simple:P09341,simple:P25024,CXCL1,CXCR1,ENSG00000163739,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0698C4DC4,simple:P10145,simple:P25024,CXCL8,CXCR1,ENSG00000169429,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0BC034428,simple:P42830,simple:P25024,CXCL5,CXCR1,ENSG00000163735,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS03818E1DD,simple:P80162,simple:P25024,CXCL6,CXCR1,ENSG00000124875,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS07AB1C381,simple:P02775,simple:P25024,PPBP,CXCR1,ENSG00000163736,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C62E5DD8,simple:P09341,simple:P25024,CXCL1,CXCR1,ENSG00000163739,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0698C4DC4,simple:P10145,simple:P25024,CXCL8,CXCR1,ENSG00000169429,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F562FEA5,simple:P19875,simple:P25025,CXCL2,CXCR2,ENSG00000081041,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09185EA8F,simple:P19876,simple:P25025,CXCL3,CXCR2,ENSG00000163734,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS00270ECE6,simple:P42830,simple:P25025,CXCL5,CXCR2,ENSG00000163735,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS093B46106,simple:P80162,simple:P25025,CXCL6,CXCR2,ENSG00000124875,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C491A3C1,simple:P02775,simple:P25025,PPBP,CXCR2,ENSG00000163736,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08102DC9E,simple:P09341,simple:P25025,CXCL1,CXCR2,ENSG00000163739,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0315F51DD,simple:P10145,simple:P25025,CXCL8,CXCR2,ENSG00000169429,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F562FEA5,simple:P19875,simple:P25025,CXCL2,CXCR2,ENSG00000081041,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09185EA8F,simple:P19876,simple:P25025,CXCL3,CXCR2,ENSG00000163734,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS00270ECE6,simple:P42830,simple:P25025,CXCL5,CXCR2,ENSG00000163735,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS093B46106,simple:P80162,simple:P25025,CXCL6,CXCR2,ENSG00000124875,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C491A3C1,simple:P02775,simple:P25025,PPBP,CXCR2,ENSG00000163736,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08102DC9E,simple:P09341,simple:P25025,CXCL1,CXCR2,ENSG00000163739,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0315F51DD,simple:P10145,simple:P25025,CXCL8,CXCR2,ENSG00000169429,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09A1EB4B3,simple:Q07325,simple:P49682,CXCL9,CXCR3,ENSG00000138755,ENSG00000186810,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS080683E15,simple:P02778,simple:P49682,CXCL10,CXCR3,ENSG00000169245,ENSG00000186810,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09FAC4977,simple:O14625,simple:P49682,CXCL11,CXCR3,ENSG00000169248,ENSG00000186810,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS01A6823FA,simple:P02776,simple:P49682,PF4,CXCR3,ENSG00000163737,ENSG00000186810,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09A1EB4B3,simple:Q07325,simple:P49682,CXCL9,CXCR3,ENSG00000138755,ENSG00000186810,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS080683E15,simple:P02778,simple:P49682,CXCL10,CXCR3,ENSG00000169245,ENSG00000186810,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09FAC4977,simple:O14625,simple:P49682,CXCL11,CXCR3,ENSG00000169248,ENSG00000186810,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS01A6823FA,simple:P02776,simple:P49682,PF4,CXCR3,ENSG00000163737,ENSG00000186810,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0669CC233,simple:O95715,simple:P61073,CXCL14,CXCR4,ENSG00000145824,ENSG00000121966,curated,LGarciaAlonso,PMID:32212206,TRUE
CPI-SS0A28DCA72,simple:P48061,simple:P61073,CXCL12,CXCR4,ENSG00000107562,ENSG00000121966,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0669CC233,simple:O95715,simple:P61073,CXCL14,CXCR4,ENSG00000145824,ENSG00000121966,curated,LGarciaAlonso,PMID:32212206,TRUE
CPI-SS0A28DCA72,simple:P48061,simple:P61073,CXCL12,CXCR4,ENSG00000107562,ENSG00000121966,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C2437E0D,simple:O43927,simple:P32302,CXCL13,CXCR5,ENSG00000156234,ENSG00000160683,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C2437E0D,simple:O43927,simple:P32302,CXCL13,CXCR5,ENSG00000156234,ENSG00000160683,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0B1535576,simple:Q9H2A7,simple:O00574,CXCL16,CXCR6,ENSG00000161921,ENSG00000172215,curated,LGarciaAlonso,uniprot,TRUE
CPI-SS0B1535576,simple:Q9H2A7,simple:O00574,CXCL16,CXCR6,ENSG00000161921,ENSG00000172215,curated,LGarciaAlonso,uniprot,TRUE
CPI-SS0DBFB8BEA,simple:P13500,simple:Q16570,CCL2,ACKR1,ENSG00000108691,ENSG00000213088,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS05B7D3407,simple:P13501,simple:Q16570,CCL5,ACKR1,ENSG00000274233,ENSG00000213088,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS052BBD9F9,simple:P09341,simple:Q16570,CXCL1,ACKR1,ENSG00000163739,ENSG00000213088,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0911EECCC,simple:P10145,simple:Q16570,CXCL8,ACKR1,ENSG00000169429,ENSG00000213088,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0DBFB8BEA,simple:P13500,simple:Q16570,CCL2,ACKR1,ENSG00000108691,ENSG00000213088,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS05B7D3407,simple:P13501,simple:Q16570,CCL5,ACKR1,ENSG00000274233,ENSG00000213088,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS052BBD9F9,simple:P09341,simple:Q16570,CXCL1,ACKR1,ENSG00000163739,ENSG00000213088,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0911EECCC,simple:P10145,simple:Q16570,CXCL8,ACKR1,ENSG00000169429,ENSG00000213088,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0D4403860,simple:P51671,simple:O00590,CCL11,ACKR2,ENSG00000172156,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F60C6D89,simple:Q99616,simple:O00590,CCL13,ACKR2,ENSG00000181374,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS004B1EBD1,simple:Q16627,simple:O00590,CCL14,ACKR2,ENSG00000276409,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS010BB499F,simple:P13500,simple:O00590,CCL2,ACKR2,ENSG00000108691,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0B03ACD14,simple:P10147,simple:O00590,CCL3,ACKR2,ENSG00000277632,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS087BEB1C9,simple:P13236,simple:O00590,CCL4,ACKR2,ENSG00000275824,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0E555F91F,simple:P13501,simple:O00590,CCL5,ACKR2,ENSG00000274233,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0FD442A0E,simple:P80098,simple:O00590,CCL7,ACKR2,ENSG00000108688,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F6F1C29E,simple:P80075,simple:O00590,CCL8,ACKR2,ENSG00000108700,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0BFCF6B11,simple:Q9Y4X3,simple:P46092,CCL27,CCR10,ENSG00000213927,ENSG00000184451,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0BCCA6596,simple:Q9NRJ3,simple:P46092,CCL28,CCR10,ENSG00000151882,ENSG00000184451,curated,LGarciaAlonso,uniprot,TRUE
CPI-SS0747FCACD,simple:O14625,simple:P25106,CXCL11,ACKR3,ENSG00000169248,ENSG00000144476,curated,LGarciaAlonso,uniprot,TRUE
CPI-SS0747FCACD,simple:O14625,simple:P25106,CXCL11,ACKR3,ENSG00000169248,ENSG00000144476,curated,LGarciaAlonso,uniprot,TRUE
