CellphoneDB interaction ,Partner A,Partner B,Gene name A,Gene name B, Ensembl ID A,Ensembl ID B,Annotation strategy,Curator,Source,Is PPI
CPI-SS0079E2156,simple:P78556,simple:P51684,CCL20,CCR6,ENSG00000115009,ENSG00000112486,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0079E2156,simple:P78556,simple:P51684,CCL20,CCR6,ENSG00000115009,ENSG00000112486,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0ECD9BB5E,simple:O00585,simple:Q9NPB9,CCL21,ACKR4,ENSG00000137077,ENSG00000129048,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS06C0074BD,simple:O00585,simple:P32248,CCL21,CCR7,ENSG00000137077,ENSG00000126353,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0ECD9BB5E,simple:O00585,simple:Q9NPB9,CCL21,ACKR4,ENSG00000137077,ENSG00000129048,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS06C0074BD,simple:O00585,simple:P32248,CCL21,CCR7,ENSG00000137077,ENSG00000126353,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0AEC33FF1,simple:O00626,simple:P27487,CCL22,DPP4,ENSG00000102962,ENSG00000197635,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS052B38F1C,simple:O00626,simple:P51679,CCL22,CCR4,ENSG00000102962,ENSG00000183813,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0AEC33FF1,simple:O00626,simple:P27487,CCL22,DPP4,ENSG00000102962,ENSG00000197635,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS052B38F1C,simple:O00626,simple:P51679,CCL22,CCR4,ENSG00000102962,ENSG00000183813,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS05B2931D3,simple:P55773,simple:P25090,CCL23,FPR2,ENSG00000274736,ENSG00000171049,curated,LGarciaAlonso,reactome,TRUE
CPI-SS049DF2278,simple:P55773,simple:P32246,CCL23,CCR1,ENSG00000274736,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS05B2931D3,simple:P55773,simple:P25090,CCL23,FPR2,ENSG00000274736,ENSG00000171049,curated,LGarciaAlonso,reactome,TRUE
CPI-SS049DF2278,simple:P55773,simple:P32246,CCL23,CCR1,ENSG00000274736,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS05B2931D3,simple:P55773,simple:P25090,CCL23,FPR2,ENSG00000274736,ENSG00000171049,curated,LGarciaAlonso,reactome,TRUE
CPI-SS049DF2278,simple:P55773,simple:P32246,CCL23,CCR1,ENSG00000274736,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS05B2931D3,simple:P55773,simple:P25090,CCL23,FPR2,ENSG00000274736,ENSG00000171049,curated,LGarciaAlonso,reactome,TRUE
CPI-SS049DF2278,simple:P55773,simple:P32246,CCL23,CCR1,ENSG00000274736,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0B0AC1603,simple:O00175,simple:P51677,CCL24,CCR3,ENSG00000106178,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0B0AC1603,simple:O00175,simple:P51677,CCL24,CCR3,ENSG00000106178,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0CCD89E02,simple:O15444,simple:Q9NPB9,CCL25,ACKR4,ENSG00000131142,ENSG00000129048,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS039863E62,simple:O15444,simple:P51686,CCL25,CCR9,ENSG00000131142,ENSG00000173585,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0CCD89E02,simple:O15444,simple:Q9NPB9,CCL25,ACKR4,ENSG00000131142,ENSG00000129048,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS039863E62,simple:O15444,simple:P51686,CCL25,CCR9,ENSG00000131142,ENSG00000173585,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS01FCCEBB9,simple:Q9Y258,simple:P51677,CCL26,CCR3,ENSG00000006606,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C2E7931B,simple:Q9Y258,simple:P41597,CCL26,CCR2,ENSG00000006606,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F06E4B3F,simple:Q9Y258,simple:P32246,CCL26,CCR1,ENSG00000006606,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS01FCCEBB9,simple:Q9Y258,simple:P51677,CCL26,CCR3,ENSG00000006606,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C2E7931B,simple:Q9Y258,simple:P41597,CCL26,CCR2,ENSG00000006606,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F06E4B3F,simple:Q9Y258,simple:P32246,CCL26,CCR1,ENSG00000006606,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0BFCF6B11,simple:Q9Y4X3,simple:P46092,CCL27,CCR10,ENSG00000213927,ENSG00000184451,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0BFCF6B11,simple:Q9Y4X3,simple:P46092,CCL27,CCR10,ENSG00000213927,ENSG00000184451,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0BCCA6596,simple:Q9NRJ3,simple:P46092,CCL28,CCR10,ENSG00000151882,ENSG00000184451,curated,LGarciaAlonso,uniprot,TRUE
CPI-SS0BCCA6596,simple:Q9NRJ3,simple:P46092,CCL28,CCR10,ENSG00000151882,ENSG00000184451,curated,LGarciaAlonso,uniprot,TRUE
