CellphoneDB interaction ,Partner A,Partner B,Gene name A,Gene name B, Ensembl ID A,Ensembl ID B,Annotation strategy,Curator,Source,Is PPI
CPI-SS0B784A03E,simple:P22362,simple:P51685,CCL1,CCR8,ENSG00000108702,ENSG00000179934,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS010BB499F,simple:P13500,simple:O00590,CCL2,ACKR2,ENSG00000108691,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0CF0E4DE9,simple:P13500,simple:P41597,CCL2,CCR2,ENSG00000108691,ENSG00000121807,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0DBFB8BEA,simple:P13500,simple:Q16570,CCL2,ACKR1,ENSG00000108691,ENSG00000213088,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C6311D2D,simple:P16619,simple:P51677,CCL3L1,CCR3,ENSG00000276085,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0817CE2B3,simple:P16619,simple:P32246,CCL3L1,CCR1,ENSG00000276085,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0B03ACD14,simple:P10147,simple:O00590,CCL3,ACKR2,ENSG00000277632,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08BFF4F9B,simple:P10147,simple:P51677,CCL3,CCR3,ENSG00000277632,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08DA48A5A,simple:P10147,simple:P32246,CCL3,CCR1,ENSG00000277632,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C090A257,simple:P10147,simple:P51681,CCL3,CCR5,ENSG00000277632,ENSG00000160791,curated,RVentoTormo,PMID:15251452,TRUE
CPI-SS0B03ACD14,simple:P10147,simple:O00590,CCL3,ACKR2,ENSG00000277632,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08BFF4F9B,simple:P10147,simple:P51677,CCL3,CCR3,ENSG00000277632,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08DA48A5A,simple:P10147,simple:P32246,CCL3,CCR1,ENSG00000277632,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C090A257,simple:P10147,simple:P51681,CCL3,CCR5,ENSG00000277632,ENSG00000160791,curated,RVentoTormo,PMID:15251452,TRUE
CPI-SS0B03ACD14,simple:P10147,simple:O00590,CCL3,ACKR2,ENSG00000277632,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08BFF4F9B,simple:P10147,simple:P51677,CCL3,CCR3,ENSG00000277632,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08DA48A5A,simple:P10147,simple:P32246,CCL3,CCR1,ENSG00000277632,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C090A257,simple:P10147,simple:P51681,CCL3,CCR5,ENSG00000277632,ENSG00000160791,curated,RVentoTormo,PMID:15251452,TRUE
CPI-SS0B03ACD14,simple:P10147,simple:O00590,CCL3,ACKR2,ENSG00000277632,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08BFF4F9B,simple:P10147,simple:P51677,CCL3,CCR3,ENSG00000277632,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08DA48A5A,simple:P10147,simple:P32246,CCL3,CCR1,ENSG00000277632,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C090A257,simple:P10147,simple:P51681,CCL3,CCR5,ENSG00000277632,ENSG00000160791,curated,RVentoTormo,PMID:15251452,TRUE
CPI-SS0B03ACD14,simple:P10147,simple:O00590,CCL3,ACKR2,ENSG00000277632,ENSG00000144648,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08BFF4F9B,simple:P10147,simple:P51677,CCL3,CCR3,ENSG00000277632,ENSG00000183625,curated,RVentoTormo,PMID:24218476,TRUE
