chemokine,chemokine_alternate_name,gpcr,PMID,author_date_journal,data_synopsis,binding_kd_ki_nm,binding_ec50_ic50_nm,signaling_ec50_ic50_nm,chemotaxis_ec50_ic50_nm,chemotaxis_max_nm,data_comment,ligand_type,interaction_strength,evidence_grade,other_comment
CCL1,I-309,CCR6,9294137,"Power, et al. 1995. J Bio Chem","""As shown in Fig. 7,A, preexposure of cells to 1 _M concentrations of IL-8 [CXCL8], GRO_ [CXCL1], NAP-2 [CXCL7], or IP-10 [CXCL10] had no significant effect on the calcium signal induced by 100 nM MIP-3_ (n = 4). Preincubation with 500 nM to 1 _M concentrations of nine human CC chemokines (MCP-1 [CCL2], MIP-1_ [CCL3], MIP-1_ [CCL4], MIP-5 [CCL15], RANTES [CCL5], eotaxin [CCL11], HCC-1 [CCL14], I-309 [CCL1], and fractalkine [CX3CL1]), also had no effect significant on MIP-3_ [CCL20]–induced calcium responses (n = 4; see Fig. 7,B), although preincubation with both 1 _M RANTES [CCL5] and 1 _M HCC-1 [CCL14] did decrease the MIP-3_ [CCL20]–induced calcium response in two out of four experiments. Indeed, only preincubation with 1 _M MIP-3_ [CCL20] led to a significant decrease in MIP-3_ [CCL20]–induced calcium responses""",,,,,,Signaling assay: desenitization assay (reduction in calcium-flux after CCL20 stimulation following initial treatment with indicated chemokine); Signaling cells: transiently transfected HEK293,no interaction,0,D,
CCL1,I-309,CCR8,9211859,"Roos, et al. 1997. J Biol Chem","""The interaction of I-309 [CCL1] with TER1 [CCR8] was of high affinity as shown by 125I-I-309 binding (K d of 1.2 nm) and transient [Ca2+] i changes at subnanomolar concentrations of agonist. Migration responses in receptor-transfected 300-19 cells was typically bimodal with maximal activity at 10 nm of I-309 [CCL1]""",1.2,,,,10,Binding assay: saturation; Binding ligand: 125I-CCL1,agonist,3,A,
CCL1,I-309,CCR8,9207005,"Tiffany, et al. 1997. J Exp Med","""After transfection with the CY6 [CCR8] open reading frame, a mouse pre–B cell line exhibited calcium flux and chemotaxis in response to I-309 [CCL1] (EC50 = 2 nM for each), whereas 20 other chemokines were inactive. Signaling was sensitive to pertussis toxin, suggesting coupling to a Gi-type G protein""",,,2,,,Signaling assay: calcium flux (EC50 2nM); Signaling cells: mouse pre-B cell line 4DE4 with transfected CCR8,agonist,3,A,
CCL1,I-309,ACKR1,15358176,"Gardner, et al. 1994. Biochem Biophys Res Commun","""the ability of heterologous unlabelled chemokines to displace specific 125I-CXCL-8 binding was examined. In these cross-competition experiments 125I-CXCL-8 was incubated with erythrocytes in the presence of increasing concentrations of 30 different chemokines over the range 0.1 to 1000 nM...chemokines could be classified into three categories: those that showed strong binding (Ki < 100 nM), weak binding (Ki 100 nM–1 lM), and no binding (Ki > 1 lM) (Table 1)""; CCL1 (I-309) Ki 309.3nM (Table 1)",309.3,,,,,Binding assay: competition; Binding ligand: 125I-CXCL8,ND,2,A,"""In these cross-competition experiments 125I-CXCL-8 was incubated with erythrocytes in the presence of increasing concentrations of 30 different chemo- kines over the range 0.1 to 1000 nM."""
CCL1,I-309,ACKR2,15067078,"Bonecchi, et al. 2004. J Immunol","""To better characterize the spectrum of chemokines recognized and scavenged by D6, D6/CHO-K1 transfectants were incubated for 3 h with 1.2 nM of various chemokines. At the end of the incubation, the chemokine concentration in the supernatant was measured by ELISA. As shown in Fig. 1, among known D6 ligands, the inflammatory CC chemokines CCL5 and CCL11 were scavenged with the highest efficiency (94.3 ± 0.2 and 92.5 ± 2.1% of the initially seeded chemokine, respectively). CCL7, CCL4, CCL2, and CCL3L1 were scavenged with intermediate efficiency (85.1 ± 0.5, 83.9 ± 2.9, 76.5 ± 2.2, and 76.0 ± 6.6% of the initially seeded chemokine, respectively). Interestingly, CCL3 and CCL3L1, which only differ in the presence of a serine or a proline residue in position 2, were scavenged with different efficacies (29.0 ± 4.1 and 76.0 ± 6.6% of the initially seeded chemokine, respectively), in agreement with previous results reporting that only the CCL3L1 variant is a high affinity D6 ligand (14). CCL1, which does not bind D6 (7), was the only inflammatory CC chemokine tested not scavenged by D6 (3.1 ± 1.4% of the initially seeded chemokine). None of the chemokines tested was scavenged by untransfected CHO-K1 cells. Unlike CC inflammatory chemokines, the homeostatic chemokines CCL19 and CCL20, agonists at CCR7 and CCR6, respectively, were not scavenged (8.2 ± 9.2 and 6.7 ± 12.5% of the initially seeded chemokine, respectively). As expected (7), the CXC chemokine CXCL8 was not scavenged by D6 transfectants (2.4 ± 7.3% of the initially seeded chemokine)""",,,,,,Other assay: scavenging assay (incubation of ACKR2-transfected versus untranbsfected cells with chemokines and assessment of supernatant for chemokines by ELISA); Other cells: ACKR2-transfected CHO-K1 cells,no interaction,0,D,"Evidence level ""D"" given because of indirect assay"
CCL1,I-309,ACKR4,10706668,"Gosling, et al. 2000. J Immunol","""The binding interactions identified in the primary screen were examined quantitatively by extensive radioligand binding competition to CCX CKR [ACKR4] stable transfectants (Fig. 3 and Table I). The results confirmed the high affinity binding of human ELC, SLC, and TECK with affinities (IC50) between _5 and 15 nM""",140,,,,,,ND,2,A,
CCL1,I-309,ACKR4,32480426,"Meyrath, et al. 2021. J Leukoc Biol","""systematic screening program aiming at reassessing the agonist activity of the 43 human chemokines (24 CCLs, 16 CXCLs, 2 XCLs, and 1 CX3CL) and 2 viral chemokines (vCCL1 and vCCL2) toward ACKR4, by monitoring _-arrestin recruitment to the receptor using a highly sensitive Nanoluciferase complementation-based assay (NanoBiT) (Fig. 1A).20–22 In agreement with the initial description by Matti and co-authors, our systematic analysis also identified CCL20 as an ACKR4 ligand capable of inducing _-arrestin-1 and _-arrestin-2 recruitment to the receptor and behaving as a partial agonist (80% efficacy) with a potency (EC50 = 42 nM) somewhat lower than potencies observed for CCL19 (EC50 = 3 nM), CCL21 (EC50 = 5 nM), and CCL25 (EC50 = 24 nM) (Fig. 1B)""",,,,,,Signaling assay:  _-arrestin recruitment using NanoBiT; Signaling cells: U87 cells,no interaction,0,C,"Note that this paper performs both single point assays with ligands at 100nM (43 chemokines) and dose-response assays (9 chemokines, 7 of which are native human chemokines); Evidence Grade ""C"" for this ligand because conclusion of ""no interaction"" derived from single concentration point"
CCL2,MCP-1,CCR1,7890708,"Myers, et al. 1995. J Biol Chem","""Activation of the MIP-la/RANTES receptor [CCR1] also mediated inhibition of adenylyl cyclase activity but with a different pharmacological profile: MIP-1a [CCL3] (110 pM, IC50), RANTES [CCL5] (140 pM), MIP-1b [CCL4] (10 nM), and MCP-1 [CCL2] (820 nM)""",,,820,,,Signaling assay: cAMP inhibition; Signaling cells: transfected HEKs,agonist,2,A,
CCL2,MCP-1,CCR1,8530354,"Combadiere, et al. 1995. J Biol Chem","""CC CKR1 [CCR1] transfectants responded to MCP-3 [CCL7] (Fig. 1A). Control stimulations with MIP-1_ [CCL3], RANTES [CCL5], MIP-1_ [CCL4], MCP-1 [CCL2], and IL-8 [CXCL8] gave results concordant with previously published data(13, 14, 15, 17, 18, 19). That is, CC CKR1 [CCR1] transfectants responded to MIP-1_ [CCR3], RANTES [CCL5], and very weakly to MIP-1_ [CCL4] (Fig. 1A)""; ""125I-MCP-3 [CCL7] bound to CC CKR1 [CCR1] could be competed by MCP-3 [CCL7], MIP-1_ [CCL3], RANTES [CCL5], and MIP-1_ [CCL4], whereas MCP-1 [CCL2] and IL-8 [CXCL8] had no effect. The Ki values were 8, 10, 15, and 75 nM, respectively, for MCP-3 [CCL7], MIP-1_ [CCL3], RANTES [CCL5], and MIP-1_ [CCL4] """,,,,,,Signaling assay: calcium flux; Signaling cells: transfected HEKs; Binding assay: competition; Binding ligand: 125I-CCL7,no interaction,0,C,
CCL2,MCP-1,CCR2,7890708,"Myers, et al. 1995. J Biol Chem","""Analysis of equilibrium binding data indicated a dissociation constant (Kd) of 260 pM (Fig. lB). This Kd is in good agreement with that reported for the binding of MCP-l [CCL2] to monocytes (2, 24) and THP-l cells (25). These data indicate that 125I MCP1 [CCL2] bound specifically and with high affinity to the MCP-lRB receptor [CCR2] expressed in 293 cells""; ""MCP-1 [CCL2] stimulated robust calcium mobilization in the stably transfected MCP-1RB [CCR2]/293 cells in a specific and dose-dependent manner. Small but reproducible signals were seen with as little as 100 pM MCP-1 [CCL2], and the average EC50 from four full dose-response curves to MCP-1 [CCL2] was 3.4 nM(2.7-4.4 nM;Fig. 2, A and B)""",0.26,,3.4,,,Binding assay: competition; Binding ligand: 125I-CCL2; Binding cells: transfected HEK293 cells,agonist,3,A,
