chemokine,gpcr
CCL1,CCR8
CCL1,ACKR1
CCL1,ACKR4
CCL2,CCR1
CCL2,CCR2
CCL2,CCR3
CCL2,CCR5
CCL2,ACKR1
CCL2,ACKR2
CCL3,CCR1
CCL3,CCR4
CCL3,CCR5
CCL3,ACKR2
CCL4L1,CCR1
CCL4L1,CCR3
CCL4L1,CCR5
CCL4,CCR1
CCL4,CCR5
CCL4,ACKR2
CCL5,CCR1
CCL5,CCR3
CCL5,CCR4
CCL5,CCR5
CCL5,CXCR3
CCL5,ACKR1
CCL5,ACKR2
CCL7,CCR1
CCL7,CCR2
CCL7,CCR3
CCL7,CCR5
CCL7,CXCR3
CCL7,ACKR1
CCL7,ACKR2
CCL8,CCR1
CCL8,CCR2
CCL8,CCR5
CCL8,ACKR1
CCL8,ACKR2
CCL11,CCR2
CCL11,CCR3
CCL11,CCR5
CCL11,CXCR3
CCL11,ACKR1
CCL11,ACKR2
CCL13,CCR2
CCL13,CCR3
CCL13,CCR5
CCL13,CXCR3
CCL13,ACKR1
CCL13,ACKR2
CCL14,CCR1
CCL14,CCR3
CCL14,CCR5
CCL14,ACKR1
CCL14,ACKR2
CCL15,CCR1
CCL15,CCR2
CCL15,CCR3
CCL16,CCR1
CCL16,CCR2
CCL16,CCR5
CCL16,CCR8
CCL16,ACKR1
CCL17,CCR4
CCL17,CCR8
CCL17,ACKR1
CCL17,ACKR2
CCL18,CCR1
CCL18,CCR2
CCL18,CCR3
CCL18,CCR5
CCL18,CCR8
CCL18,ACKR1
CCL19,CCR7
CCL19,ACKR4
CCL19,CCRL2
CCL20,CCR6
CCL20,CXCR3
CCL20,ACKR4
CCL21,CCR7
CCL21,ACKR4
CCL22,CCR4
CCL22,ACKR2
CCL22,ACKR4
CCL23,CCR1
CCL24,CCR2
CCL24,CCR3
CCL25,CCR9
CCL25,ACKR4
CCL26,CCR2
CCL26,CCR3
CCL26,CCR5
CCL26,CX3CR1
CCL27,CCR10
CCL28,CCR3
CCL28,CCR10
CXCL1,CXCR1
CXCL1,CXCR2
CXCL1,ACKR1
CXCL2,CXCR2
CXCL2,ACKR1
CXCL3,CXCR1
CXCL3,CXCR2
CXCL4L1,CXCR3
CXCL4,CXCR3
CXCL4,ACKR1
CXCL5,CXCR1
CXCL5,CXCR2
CXCL5,ACKR1
CXCL6,ACKR1
CXCL7,CXCR1
CXCL7,ACKR1
CXCL8,CXCR1
CXCL8,CXCR2
CXCL8,ACKR1
CXCL9,CXCR3
CXCL9,ACKR1
CXCL10,CXCR3
CXCL10,ACKR1
CXCL10,ACKR2
CXCL11,CCR3
CXCL11,CCR5
CXCL11,CXCR3
CXCL11,ACKR1
CXCL11,ACKR3
CXCL12,CXCR3
CXCL12,CXCR4
CXCL12,ACKR1
CXCL12,ACKR3
CXCL13,CXCR3
CXCL13,CXCR5
CXCL13,ACKR1
CXCL13,ACKR4
CXCL14,CCR7
CXCL14,CXCR4
CXCL16,CXCR6
CX3CL1,CX3CR1
XCL1,XCR1
XCL2,XCR1
CCL3L1,NA
CXCL17,NA
