chemokine,gpcr
CCL1,CCR8
CCL2,ACKR2
CCL2,CCR2
CCL2,ACKR1
CCL3L1,CCR3
CCL3L1,CCR1
CCL3,ACKR2
CCL3,CCR3
CCL3,CCR1
CCL3,CCR5
CCL4,ACKR2
CCL4,CCR5
CCL5,ACKR2
CCL5,CCR3
CCL5,CCR1
CCL5,CCR4
CCL5,ACKR1
CCL5,CCR5
CCL5,GPR75
CCL7,ACKR2
CCL7,CCR3
CCL7,CCR2
CCL7,CCR1
CCL7,CCR5
CCL8,ACKR2
CCL8,CCR3
CCL8,CCR2
CCL8,CCR1
CCL8,CCR5
CCL11,ACKR2
CCL11,CCR3
CCL13,ACKR2
CCL13,CCR3
CCL13,CCR2
CCL14,ACKR2
CCL14,CCR3
CCL14,CCR1
CCL15,CCR3
CCL15,CCR1
CCL16,CCR8
CCL16,CCR2
CCL16,CCR1
CCL17,CCR4
CCL18,CCR8
CCL19,ACKR4
CCL19,CCRL2
CCL19,CCR7
CCL20,CCR6
CCL21,ACKR4
CCL21,CCR7
CCL22,CCR4
CCL23,CCR1
CCL24,CCR3
CCL25,ACKR4
CCL25,CCR9
CCL26,CCR3
CCL26,CCR2
CCL26,CCR1
CCL27,CCR10
CCL28,CCR10
CXCL1,ACKR1
CXCL1,CXCR2
CXCL1,CXCR1
CXCL2,CXCR2
CXCL3,CXCR2
CXCL5,CXCR2
CXCL5,CXCR1
CXCL6,CXCR2
CXCL6,CXCR1
CXCL7,CXCR2
CXCL7,CXCR1
CXCL8,ACKR1
CXCL8,CXCR2
CXCL8,CXCR1
CXCL9,CXCR3
CXCL10,CXCR3
CXCL11,CXCR3
CXCL11,ACKR3
CXCL12,CXCR4
CXCL13,ACKR4
CXCL13,CXCR5
CXCL14,CXCR4
CXCL16,CXCR6
XCL2,XCR1
CX3CL1,CX3CR1
CXCL4,CXCR3
XCL1,XCR1
