protein,gn,cancer_mut_count
CCR1,gnNTr.Cm50,NA
CCR2,gnNTr.Cm50,NA
CCR3,gnNTr.Cm50,NA
CCR4,gnNTr.Cm50,NA
CCR5,gnNTr.Cm50,NA
CCR6,gnNTr.Cm50,NA
CCR7,gnNTr.Cm50,NA
CCR8,gnNTr.Cm50,NA
CCR9,gnNTr.Cm50,NA
CCR10,gnNTr.Cm50,NA
CXCR1,gnNTr.Cm50,NA
CXCR2,gnNTr.Cm50,NA
CXCR3,gnNTr.Cm50,NA
CXCR4,gnNTr.Cm50,NA
CXCR5,gnNTr.Cm50,NA
CXCR6,gnNTr.Cm50,NA
CX3CR1,gnNTr.Cm50,NA
XCR1,gnNTr.Cm50,NA
ACKR1,gnNTr.Cm50,0
ACKR2,gnNTr.Cm50,NA
ACKR3,gnNTr.Cm50,NA
ACKR4,gnNTr.Cm50,NA
CCRL2,gnNTr.Cm50,NA
CCR1,gnNTr.Cm49,NA
CCR2,gnNTr.Cm49,NA
CCR3,gnNTr.Cm49,NA
CCR4,gnNTr.Cm49,NA
CCR5,gnNTr.Cm49,NA
CCR6,gnNTr.Cm49,NA
CCR7,gnNTr.Cm49,NA
CCR8,gnNTr.Cm49,NA
CCR9,gnNTr.Cm49,NA
CCR10,gnNTr.Cm49,NA
CXCR1,gnNTr.Cm49,NA
CXCR2,gnNTr.Cm49,NA
CXCR3,gnNTr.Cm49,NA
CXCR4,gnNTr.Cm49,NA
CXCR5,gnNTr.Cm49,NA
CXCR6,gnNTr.Cm49,NA
CX3CR1,gnNTr.Cm49,NA
XCR1,gnNTr.Cm49,NA
ACKR1,gnNTr.Cm49,0
ACKR2,gnNTr.Cm49,NA
ACKR3,gnNTr.Cm49,NA
ACKR4,gnNTr.Cm49,NA
CCRL2,gnNTr.Cm49,NA
CCR1,gnNTr.Cm48,NA
CCR2,gnNTr.Cm48,NA
CCR3,gnNTr.Cm48,NA
CCR4,gnNTr.Cm48,NA
CCR5,gnNTr.Cm48,NA
CCR6,gnNTr.Cm48,NA
CCR7,gnNTr.Cm48,NA
CCR8,gnNTr.Cm48,NA
CCR9,gnNTr.Cm48,NA
CCR10,gnNTr.Cm48,NA
CXCR1,gnNTr.Cm48,NA
CXCR2,gnNTr.Cm48,NA
CXCR3,gnNTr.Cm48,NA
CXCR4,gnNTr.Cm48,NA
CXCR5,gnNTr.Cm48,NA
CXCR6,gnNTr.Cm48,NA
CX3CR1,gnNTr.Cm48,NA
XCR1,gnNTr.Cm48,NA
ACKR1,gnNTr.Cm48,0
ACKR2,gnNTr.Cm48,NA
ACKR3,gnNTr.Cm48,NA
ACKR4,gnNTr.Cm48,NA
CCRL2,gnNTr.Cm48,NA
CCR1,gnNTr.Cm47,NA
CCR2,gnNTr.Cm47,NA
CCR3,gnNTr.Cm47,NA
CCR4,gnNTr.Cm47,NA
CCR5,gnNTr.Cm47,NA
CCR6,gnNTr.Cm47,NA
CCR7,gnNTr.Cm47,0
CCR8,gnNTr.Cm47,NA
CCR9,gnNTr.Cm47,NA
CCR10,gnNTr.Cm47,NA
CXCR1,gnNTr.Cm47,NA
CXCR2,gnNTr.Cm47,NA
CXCR3,gnNTr.Cm47,NA
CXCR4,gnNTr.Cm47,NA
CXCR5,gnNTr.Cm47,NA
CXCR6,gnNTr.Cm47,NA
CX3CR1,gnNTr.Cm47,NA
XCR1,gnNTr.Cm47,NA
ACKR1,gnNTr.Cm47,0
ACKR2,gnNTr.Cm47,NA
ACKR3,gnNTr.Cm47,NA
ACKR4,gnNTr.Cm47,NA
CCRL2,gnNTr.Cm47,NA
CCR1,gnNTr.Cm46,NA
CCR2,gnNTr.Cm46,NA
CCR3,gnNTr.Cm46,NA
CCR4,gnNTr.Cm46,NA
CCR5,gnNTr.Cm46,NA
CCR6,gnNTr.Cm46,NA
CCR7,gnNTr.Cm46,0
CCR8,gnNTr.Cm46,NA
CCR9,gnNTr.Cm46,NA
CCR10,gnNTr.Cm46,NA
CXCR1,gnNTr.Cm46,NA
CXCR2,gnNTr.Cm46,NA
CXCR3,gnNTr.Cm46,NA
CXCR4,gnNTr.Cm46,NA
CXCR5,gnNTr.Cm46,NA
CXCR6,gnNTr.Cm46,NA
CX3CR1,gnNTr.Cm46,NA
XCR1,gnNTr.Cm46,NA
ACKR1,gnNTr.Cm46,0
ACKR2,gnNTr.Cm46,NA
ACKR3,gnNTr.Cm46,NA
ACKR4,gnNTr.Cm46,NA
CCRL2,gnNTr.Cm46,NA
CCR1,gnNTr.Cm45,NA
CCR2,gnNTr.Cm45,NA
CCR3,gnNTr.Cm45,NA
CCR4,gnNTr.Cm45,NA
CCR5,gnNTr.Cm45,NA
CCR6,gnNTr.Cm45,NA
CCR7,gnNTr.Cm45,3
CCR8,gnNTr.Cm45,NA
CCR9,gnNTr.Cm45,NA
CCR10,gnNTr.Cm45,NA
CXCR1,gnNTr.Cm45,NA
CXCR2,gnNTr.Cm45,NA
CXCR3,gnNTr.Cm45,NA
CXCR4,gnNTr.Cm45,NA
CXCR5,gnNTr.Cm45,NA
CXCR6,gnNTr.Cm45,NA
CX3CR1,gnNTr.Cm45,NA
XCR1,gnNTr.Cm45,NA
ACKR1,gnNTr.Cm45,0
ACKR2,gnNTr.Cm45,NA
ACKR3,gnNTr.Cm45,NA
ACKR4,gnNTr.Cm45,NA
CCRL2,gnNTr.Cm45,NA
CCR1,gnNTr.Cm44,NA
CCR2,gnNTr.Cm44,NA
CCR3,gnNTr.Cm44,NA
CCR4,gnNTr.Cm44,NA
CCR5,gnNTr.Cm44,NA
CCR6,gnNTr.Cm44,NA
CCR7,gnNTr.Cm44,0
CCR8,gnNTr.Cm44,NA
CCR9,gnNTr.Cm44,NA
CCR10,gnNTr.Cm44,NA
CXCR1,gnNTr.Cm44,NA
CXCR2,gnNTr.Cm44,NA
CXCR3,gnNTr.Cm44,NA
CXCR4,gnNTr.Cm44,NA
CXCR5,gnNTr.Cm44,NA
CXCR6,gnNTr.Cm44,NA
CX3CR1,gnNTr.Cm44,NA
XCR1,gnNTr.Cm44,NA
ACKR1,gnNTr.Cm44,0
ACKR2,gnNTr.Cm44,NA
ACKR3,gnNTr.Cm44,NA
ACKR4,gnNTr.Cm44,NA
CCRL2,gnNTr.Cm44,NA
